0,1,2
0,"#include <stdlib.h>

int diff(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s - arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int diff(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s - arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int prod(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s * arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int prod(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s * arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int max_val(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s > arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int max_val(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s > arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int min_val(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s < arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int min_val(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s < arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int avg(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s + arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int avg(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s + arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int bitand(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s & arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int bitand(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s & arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int bitor(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s | arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int bitor(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s | arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int xor_val(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s ^ arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int xor_val(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s ^ arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int mod_val(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s % arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int mod_val(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s % arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int lshift(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s << arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int lshift(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s << arr[i];
    }
    return s;
}"
0,"#include <stdlib.h>

int rshift(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    int s = 0;
    for (int i = 0; i < n; i++) {
        arr[i] = i;
        s = s >> arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N 1024

int rshift(int n) {
    int arr[MAX_N];
    int s = 0;
    for (int i = 0; i < n && i < MAX_N; i++) {
        arr[i] = i;
        s = s >> arr[i];
    }
    return s;
}"
0,"typedef int (*func_ptr)(int);

int double(int x) { return x * 2; }

int apply_func(int x) {
    func_ptr fp = double;
    return fp(x);
}","int apply_func(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int triple(int x) { return x * 2; }

int transform(int x) {
    func_ptr fp = triple;
    return fp(x);
}","int transform(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int negate(int x) { return x * 2; }

int map_val(int x) {
    func_ptr fp = negate;
    return fp(x);
}","int map_val(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int identity(int x) { return x * 2; }

int reduce_val(int x) {
    func_ptr fp = identity;
    return fp(x);
}","int reduce_val(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int threshold(int x) { return x * 2; }

int filter_val(int x) {
    func_ptr fp = threshold;
    return fp(x);
}","int filter_val(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int convert(int x) { return x * 2; }

int conv_val(int x) {
    func_ptr fp = convert;
    return fp(x);
}","int conv_val(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int process(int x) { return x * 2; }

int proc_val(int x) {
    func_ptr fp = process;
    return fp(x);
}","int proc_val(int x) {
    return x * 2;
}"
0,"typedef int (*func_ptr)(int);

int evaluate(int x) { return x * 2; }

int eval_val(int x) {
    func_ptr fp = evaluate;
    return fp(x);
}","int eval_val(int x) {
    return x * 2;
}"
0,"void ptr_array_0(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_0(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_1(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_1(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_2(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_2(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_3(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_3(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_4(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_4(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_5(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_5(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_6(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_6(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_7(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_7(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_8(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_8(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void ptr_array_9(int *data, int *out, int len) {
    int *ptrs[100];
    for (int j = 0; j < len; j++) ptrs[j] = &data[j];
    int sum = 0;
    for (int j = 0; j < len; j++) sum += *ptrs[j];
    *out = sum;
}","void ptr_array_9(int data[100], int *out, int len) {
    int sum = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < 100; j++) sum += data[j];
    *out = sum;
}"
0,"void cast_op_0(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 1;
}","void cast_op_0(int input, int *output) {
    *output = input + 1;
}"
0,"void cast_op_1(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 2;
}","void cast_op_1(int input, int *output) {
    *output = input + 2;
}"
0,"void cast_op_2(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 3;
}","void cast_op_2(int input, int *output) {
    *output = input + 3;
}"
0,"void cast_op_3(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 4;
}","void cast_op_3(int input, int *output) {
    *output = input + 4;
}"
0,"void cast_op_4(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 5;
}","void cast_op_4(int input, int *output) {
    *output = input + 5;
}"
0,"void cast_op_5(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 6;
}","void cast_op_5(int input, int *output) {
    *output = input + 6;
}"
0,"void cast_op_6(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 7;
}","void cast_op_6(int input, int *output) {
    *output = input + 7;
}"
0,"void cast_op_7(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 8;
}","void cast_op_7(int input, int *output) {
    *output = input + 8;
}"
0,"void cast_op_8(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 9;
}","void cast_op_8(int input, int *output) {
    *output = input + 9;
}"
0,"void cast_op_9(void *input, int *output) {
    int *p = (int *)input;
    *output = *p + 10;
}","void cast_op_9(int input, int *output) {
    *output = input + 10;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_0(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_0(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_1(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_1(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_2(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_2(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_3(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_3(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_4(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_4(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_5(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_5(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_6(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_6(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_7(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_7(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_8(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_8(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
0,"typedef struct Node {
    int val;
    struct Node *next;
} Node;

int list_sum_9(Node *head) {
    int s = 0;
    while (head) {
        s += head->val;
        head = head->next;
    }
    return s;
}","#define MAX_LIST 256

int list_sum_9(int vals[MAX_LIST], int len) {
    int s = 0;
    #pragma HLS PIPELINE
    for (int j = 0; j < len && j < MAX_LIST; j++) {
        s += vals[j];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_sum_0(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_SUM_0 64

int dyn_sum_0(int n) {
    int arr[MAX_N_DYN_SUM_0];
    if (n > MAX_N_DYN_SUM_0) n = MAX_N_DYN_SUM_0;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_sum_1(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_SUM_1 128

int dyn_sum_1(int n) {
    int arr[MAX_N_DYN_SUM_1];
    if (n > MAX_N_DYN_SUM_1) n = MAX_N_DYN_SUM_1;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_sum_2(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_SUM_2 256

int dyn_sum_2(int n) {
    int arr[MAX_N_DYN_SUM_2];
    if (n > MAX_N_DYN_SUM_2) n = MAX_N_DYN_SUM_2;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_sum_3(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_SUM_3 512

int dyn_sum_3(int n) {
    int arr[MAX_N_DYN_SUM_3];
    if (n > MAX_N_DYN_SUM_3) n = MAX_N_DYN_SUM_3;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_sum_4(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_SUM_4 1024

int dyn_sum_4(int n) {
    int arr[MAX_N_DYN_SUM_4];
    if (n > MAX_N_DYN_SUM_4) n = MAX_N_DYN_SUM_4;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = 0;
    for (int i = 0; i < n; i++) {
        s += arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_max_0(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_MAX_0 64

int dyn_max_0(int n) {
    int arr[MAX_N_DYN_MAX_0];
    if (n > MAX_N_DYN_MAX_0) n = MAX_N_DYN_MAX_0;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_max_1(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_MAX_1 128

int dyn_max_1(int n) {
    int arr[MAX_N_DYN_MAX_1];
    if (n > MAX_N_DYN_MAX_1) n = MAX_N_DYN_MAX_1;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_max_2(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_MAX_2 256

int dyn_max_2(int n) {
    int arr[MAX_N_DYN_MAX_2];
    if (n > MAX_N_DYN_MAX_2) n = MAX_N_DYN_MAX_2;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_max_3(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_MAX_3 512

int dyn_max_3(int n) {
    int arr[MAX_N_DYN_MAX_3];
    if (n > MAX_N_DYN_MAX_3) n = MAX_N_DYN_MAX_3;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    return s;
}"
1,"#include <stdlib.h>

int dyn_max_4(int n) {
    int *arr = (int *)malloc(n * sizeof(int));
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    free(arr);
    return s;
}","#define MAX_N_DYN_MAX_4 1024

int dyn_max_4(int n) {
    int arr[MAX_N_DYN_MAX_4];
    if (n > MAX_N_DYN_MAX_4) n = MAX_N_DYN_MAX_4;
    for (int i = 0; i < n; i++) arr[i] = i + 1;
    int s = arr[0];
    for (int i = 1; i < n; i++) {
        if(arr[i]>s) s=arr[i];
    }
    return s;
}"
